Tumor_Sample_Barcode,count
TCGA-A8-A0A9-01,50
TCGA-BH-A1ES-06,50
TCGA-AR-A0U0-01,50
TCGA-A7-A0D9-01,50
TCGA-A1-A0SN-01,50
TCGA-A7-A0CH-01,50
TCGA-BH-A0E7-01,50
TCGA-AO-A03P-01,49
TCGA-A7-A425-01,49
TCGA-C8-A1HN-01,49
TCGA-A7-A2KD-01,49
TCGA-B6-A0IC-01,49
TCGA-A8-A09D-01,49
TCGA-GM-A2DD-01,49
TCGA-E9-A1RC-01,48
TCGA-C8-A26X-01,48
TCGA-BH-A1EY-01,48
TCGA-E2-A150-01,48
TCGA-C8-A12Z-01,48
TCGA-D8-A1XT-01,48
TCGA-D8-A27N-01,48
TCGA-AR-A24L-01,47
TCGA-A8-A09E-01,47
TCGA-A2-A0T2-01,47
TCGA-C8-A137-01,47
TCGA-BH-A1EN-01,47
TCGA-C8-A12W-01,47
TCGA-BH-A0GY-01,47
TCGA-A8-A07J-01,46
TCGA-B6-A0RV-01,46
TCGA-E2-A15P-01,46
TCGA-EW-A1P8-01,46
TCGA-AN-A0FZ-01,46
TCGA-A1-A0SP-01,46
TCGA-E2-A1LK-01,46
TCGA-D8-A1JF-01,45
TCGA-AR-A5QN-01,45
TCGA-EW-A1J6-01,45
TCGA-AR-A1AQ-01,45
TCGA-BH-A0BG-01,45
TCGA-E9-A1NF-01,45
TCGA-C8-A12X-01,45
TCGA-B6-A0IG-01,45
TCGA-A2-A4S2-01,45
TCGA-E2-A15S-01,45
TCGA-AN-A0FK-01,45
TCGA-A2-A0CU-01,45
TCGA-C8-A1HG-01,45
TCGA-D8-A143-01,44
TCGA-AO-A03R-01,44
TCGA-AR-A24S-01,44
TCGA-A8-A06P-01,44
TCGA-E2-A153-01,44
TCGA-E9-A228-01,44
TCGA-E2-A15T-01,44
TCGA-BH-A0BO-01,44
TCGA-B6-A2IU-01,44
TCGA-AN-A03X-01,44
TCGA-OL-A5S0-01,43
TCGA-A2-A1FV-01,43
TCGA-EW-A1PH-01,43
TCGA-D8-A1XY-01,43
TCGA-B6-A0RU-01,43
TCGA-A2-A3XX-01,43
TCGA-OL-A5D6-01,43
TCGA-GM-A2DL-01,43
TCGA-AO-A1KS-01,43
TCGA-A7-A4SB-01,43
TCGA-LL-A50Y-01,43
TCGA-E2-A15R-01,43
TCGA-BH-A18K-01,43
TCGA-AR-A1AS-01,42
TCGA-AN-A0FD-01,42
TCGA-AO-A125-01,42
TCGA-C8-A26Z-01,42
TCGA-AN-A0AS-01,42
TCGA-D8-A1JM-01,42
TCGA-E2-A154-01,42
TCGA-E2-A1IG-01,42
TCGA-B6-A0IN-01,42
TCGA-A2-A04N-01,42
TCGA-AO-A1KT-01,42
TCGA-A8-A09B-01,41
TCGA-A8-A07I-01,41
TCGA-A2-A3KC-01,41
TCGA-B6-A40C-01,41
TCGA-A8-A08I-01,41
TCGA-D8-A1X6-01,41
TCGA-AR-A0TS-01,41
TCGA-B6-A0RH-01,41
TCGA-A8-A07O-01,41
TCGA-AN-A0G0-01,41
TCGA-JL-A3YX-01,41
TCGA-OL-A66I-01,41
TCGA-BH-A18L-01,41
TCGA-D8-A1XF-01,40
TCGA-A2-A0EU-01,40
TCGA-E9-A54X-01,40
TCGA-BH-A204-01,40
TCGA-AR-A1AV-01,40
TCGA-A1-A0SF-01,40
TCGA-E2-A1LB-01,40
TCGA-BH-A0HW-01,40
TCGA-E2-A15A-01,40
TCGA-AO-A0JE-01,40
TCGA-AR-A24Z-01,40
TCGA-C8-A1HE-01,40
TCGA-E9-A5UO-01,40
TCGA-E9-A1RG-01,39
TCGA-B6-A0IM-01,39
TCGA-A2-A0CQ-01,39
TCGA-B6-A409-01,39
TCGA-E2-A10B-01,39
TCGA-B6-A0RN-01,39
TCGA-BH-A0B9-01,39
TCGA-B6-A0WZ-01,39
TCGA-LL-A5YO-01,39
TCGA-E9-A5UP-01,39
TCGA-C8-A130-01,39
TCGA-A8-A08P-01,38
TCGA-C8-A12U-01,38
TCGA-BH-A0C7-01,38
TCGA-BH-A0EB-01,38
TCGA-E2-A15L-01,38
TCGA-A8-A07U-01,38
TCGA-BH-A42V-01,38
TCGA-AR-A2LK-01,38
TCGA-AR-A2LN-01,38
TCGA-B6-A0WW-01,38
TCGA-BH-A0HL-01,38
TCGA-BH-A42T-01,38
TCGA-A2-A0T3-01,38
TCGA-BH-A0HU-01,37
TCGA-E2-A14S-01,37
TCGA-A2-A1G4-01,37
TCGA-AR-A0U3-01,37
TCGA-D8-A1JI-01,37
TCGA-C8-A1HI-01,37
TCGA-BH-A1FM-01,37
TCGA-A2-A0CO-01,37
TCGA-BH-A0E2-01,37
TCGA-A8-A09K-01,37
TCGA-A2-A0EN-01,37
TCGA-BH-A0BQ-01,37
TCGA-D8-A27L-01,37
TCGA-A8-A0A1-01,37
TCGA-AC-A2FE-01,36
TCGA-A8-A08G-01,36
TCGA-AO-A12G-01,36
TCGA-E2-A15E-06,36
TCGA-AN-A049-01,36
TCGA-E2-A14O-01,36
TCGA-A2-A0SV-01,36
TCGA-A8-A090-01,36
TCGA-A7-A26I-01,36
TCGA-EW-A1PA-01,36
TCGA-BH-A0BT-01,36
TCGA-AO-A12D-01,36
TCGA-E2-A1B4-01,36
TCGA-B6-A0X5-01,36
TCGA-E2-A15O-01,36
TCGA-AC-A5EI-01,36
TCGA-AR-A5QM-01,35
TCGA-EW-A1PE-01,35
TCGA-AO-A0JM-01,35
TCGA-A7-A0CD-01,35
TCGA-A8-A0A2-01,35
TCGA-A8-A0A4-01,35
TCGA-AN-A0XR-01,35
TCGA-AC-A3YJ-01,35
TCGA-AO-A1KO-01,35
TCGA-A2-A4RY-01,35
TCGA-A7-A0CG-01,35
TCGA-AC-A3QP-01,35
TCGA-AR-A1AP-01,35
TCGA-OL-A5D8-01,35
TCGA-A2-A0T4-01,34
TCGA-GM-A2DF-01,34
TCGA-AR-A24N-01,34
TCGA-A8-A06N-01,34
TCGA-E2-A570-01,34
TCGA-E9-A1NE-01,34
TCGA-BH-A0HB-01,34
TCGA-D8-A27I-01,34
TCGA-E9-A247-01,34
TCGA-A1-A0SG-01,34
TCGA-D8-A1JE-01,34
TCGA-D8-A3Z6-01,34
TCGA-A8-A08B-01,34
TCGA-A2-A0CS-01,34
TCGA-A2-A04V-01,34
TCGA-E9-A1R5-01,34
TCGA-A2-A3XS-01,34
TCGA-GM-A2DA-01,34
TCGA-A8-A06Y-01,34
TCGA-AN-A0FN-01,33
TCGA-BH-A0C1-01,33
TCGA-A2-A0EO-01,33
TCGA-E2-A14T-01,33
TCGA-BH-A1EO-01,33
TCGA-A8-A08Z-01,33
TCGA-A2-A0T1-01,33
TCGA-D8-A1JT-01,33
TCGA-BH-A0HQ-01,33
TCGA-AQ-A54O-01,33
TCGA-GM-A5PX-01,33
TCGA-C8-A1HF-01,33
TCGA-AO-A12F-01,33
TCGA-OL-A66K-01,33
TCGA-E9-A22A-01,33
TCGA-A7-A3J1-01,33
TCGA-BH-A0BF-01,32
TCGA-C8-A12O-01,32
TCGA-BH-A0DI-01,32
TCGA-A2-A1FZ-01,32
TCGA-E2-A1L8-01,32
TCGA-B6-A0IE-01,32
TCGA-E9-A226-01,32
TCGA-A8-A08A-01,32
TCGA-BH-A1F5-01,32
TCGA-OK-A5Q2-01,32
TCGA-A1-A0SM-01,32
TCGA-A2-A1G1-01,32
TCGA-AO-A0JA-01,32
TCGA-C8-A12Y-01,32
TCGA-A1-A0SJ-01,32
TCGA-A8-A0AD-01,32
TCGA-BH-A0W4-01,32
TCGA-E2-A15H-01,32
TCGA-D8-A146-01,32
TCGA-AR-A254-01,32
TCGA-E2-A107-01,31
TCGA-E2-A15A-06,31
TCGA-AR-A24X-01,31
TCGA-A8-A083-01,31
TCGA-A8-A07F-01,31
TCGA-BH-A18N-01,31
TCGA-A7-A5ZW-01,31
TCGA-E9-A1RB-01,31
TCGA-A2-A3XU-01,31
TCGA-AN-A04A-01,31
TCGA-A8-A08J-01,31
TCGA-E9-A1N5-01,31
TCGA-D8-A1XB-01,31
TCGA-D8-A1XC-01,31
TCGA-A2-A0D4-01,31
TCGA-LL-A5YM-01,30
TCGA-B6-A0WX-01,30
TCGA-A2-A0YF-01,30
TCGA-A2-A0EX-01,30
TCGA-AO-A0JF-01,30
TCGA-D8-A1X8-01,30
TCGA-A2-A04X-01,30
TCGA-AR-A1AM-01,30
TCGA-GM-A4E0-01,30
TCGA-AR-A1AT-01,30
TCGA-OL-A5RU-01,30
TCGA-A8-A096-01,30
TCGA-AC-A23G-01,30
TCGA-AR-A2LL-01,30
TCGA-EW-A1J2-01,30
TCGA-AQ-A1H3-01,30
TCGA-OL-A5RX-01,30
TCGA-A8-A09C-01,30
TCGA-D8-A3Z5-01,30
TCGA-AN-A0XL-01,30
TCGA-E9-A1N8-01,29
TCGA-A8-A091-01,29
TCGA-AN-A0XO-01,29
TCGA-EW-A2FS-01,29
TCGA-AR-A24K-01,29
TCGA-E2-A1BD-01,29
TCGA-E2-A15C-01,29
TCGA-AR-A24V-01,29
TCGA-EW-A1J3-01,29
TCGA-D8-A1XV-01,29
TCGA-A2-A0ER-01,29
TCGA-C8-A1HL-01,29
TCGA-AN-A03Y-01,29
TCGA-AN-A0XV-01,29
TCGA-E9-A1N4-01,29
TCGA-B6-A0WV-01,29
TCGA-AN-A0FF-01,29
TCGA-BH-A18H-01,29
TCGA-BH-A1FJ-01,28
TCGA-AR-A5QP-01,28
TCGA-D8-A1XR-01,28
TCGA-E2-A1II-01,28
TCGA-A8-A0AB-01,28
TCGA-D8-A1XU-01,28
TCGA-C8-A278-01,28
TCGA-LL-A5YN-01,28
TCGA-E2-A15E-01,28
TCGA-BH-A202-01,28
TCGA-BH-A1FD-01,28
TCGA-AO-A0J8-01,28
TCGA-BH-A0GZ-01,28
TCGA-EW-A1P0-01,28
TCGA-AQ-A1H2-01,28
TCGA-A8-A06T-01,28
TCGA-E9-A1N3-01,28
TCGA-A2-A0EM-01,28
TCGA-E2-A15D-01,28
TCGA-E2-A10F-01,28
TCGA-A7-A13G-01,27
TCGA-GM-A2DI-01,27
TCGA-A1-A0SD-01,27
TCGA-A1-A0SE-01,27
TCGA-GM-A3XN-01,27
TCGA-A7-A13H-01,27
TCGA-D8-A1XG-01,27
TCGA-AN-A0XS-01,27
TCGA-B6-A1KC-01,27
TCGA-D8-A27R-01,27
TCGA-A2-A0D3-01,27
TCGA-D8-A1JB-01,27
TCGA-AN-A0XP-01,27
TCGA-A8-A09T-01,27
TCGA-BH-A1FU-01,27
TCGA-D8-A145-01,27
TCGA-D8-A1XA-01,27
TCGA-B6-A401-01,27
TCGA-BH-A0HN-01,27
TCGA-A2-A0SX-01,27
TCGA-E9-A1NH-01,27
TCGA-OL-A66H-01,27
TCGA-E2-A1B5-01,27
TCGA-A1-A0SQ-01,27
TCGA-B6-A0IP-01,27
TCGA-BH-A0HI-01,26
TCGA-E2-A3DX-01,26
TCGA-E9-A1R6-01,26
TCGA-A8-A08O-01,26
TCGA-AR-A24R-01,26
TCGA-C8-A1HO-01,26
TCGA-D8-A1X7-01,26
TCGA-A2-A0CK-01,26
TCGA-AC-A2BM-01,26
TCGA-A7-A3IY-01,26
TCGA-EW-A1IY-01,26
TCGA-BH-A18R-01,26
TCGA-GM-A5PV-01,26
TCGA-E2-A14X-01,25
TCGA-BH-A1FL-01,25
TCGA-A2-A4RX-01,25
TCGA-A2-A1G0-01,25
TCGA-C8-A12N-01,25
TCGA-A2-A25C-01,25
TCGA-E9-A1R3-01,25
TCGA-E9-A1R0-01,25
TCGA-EW-A1OX-01,25
TCGA-C8-A27A-01,25
TCGA-BH-A0DG-01,25
TCGA-E2-A10E-01,25
TCGA-A8-A09V-01,25
TCGA-AO-A03L-01,25
TCGA-AR-A1AL-01,25
TCGA-AO-A0J7-01,25
TCGA-A8-A082-01,25
TCGA-A8-A07Z-01,25
TCGA-BH-A18S-01,25
TCGA-E9-A1RD-01,25
TCGA-BH-A28O-01,25
TCGA-BH-A0B7-01,25
TCGA-E2-A1LL-01,25
TCGA-AC-A2FO-01,25
TCGA-AR-A1AJ-01,25
TCGA-BH-A0W5-01,25
TCGA-BH-A18I-01,24
TCGA-A8-A086-01,24
TCGA-BH-A28Q-01,24
TCGA-A2-A0CL-01,24
TCGA-B6-A0I5-01,24
TCGA-GM-A2DK-01,24
TCGA-B6-A0IH-01,24
TCGA-E2-A15J-01,24
TCGA-AR-A24T-01,24
TCGA-AN-A041-01,24
TCGA-E2-A1IU-01,24
TCGA-E2-A14Q-01,24
TCGA-AR-A24M-01,24
TCGA-EW-A1IX-01,23
TCGA-D8-A27K-01,23
TCGA-B6-A0WS-01,23
TCGA-D8-A1Y2-01,23
TCGA-C8-A133-01,23
TCGA-A2-A0SU-01,23
TCGA-A2-A0T7-01,23
TCGA-EW-A1P6-01,23
TCGA-BH-A1ET-01,23
TCGA-BH-A0HO-01,23
TCGA-A2-A0CV-01,23
TCGA-EW-A2FV-01,23
TCGA-E2-A1L9-01,23
TCGA-B6-A0X7-01,22
TCGA-E9-A1RA-01,22
TCGA-AR-A2LH-01,22
TCGA-E2-A15F-01,22
TCGA-D8-A27T-01,22
TCGA-BH-A0DO-01,22
